itemId,title,price,shipping cost,post date,location,seller,seller feedback Percentage,seller feedback Score,seller,condition,URL
v1|126509699648|0,APPLE IPHONE 12 64GB - Black UNLOCKED.,190.00,0.00,2024-06-01T16:16:01.000Z,L36***,INDIVIDUAL,100.0,654,INDIVIDUAL,Used,https://www.ebay.co.uk/itm/126509699648?hash=item1d7490d240:g:3vkAAOSw2ixmW0iJ
v1|335420705941|0,Apple iPhone 12 - 64GB - Black (Unlocked) Fair Condition,175.00,0.00,2024-06-01T15:44:42.000Z,UB3***,INDIVIDUAL,99.2,353,INDIVIDUAL,Used,https://www.ebay.co.uk/itm/335420705941?hash=item4e18a1cc95:g:0nQAAOSwd7ZmW0DX
v1|394148207351|662663579891,"NEW Apple iPhone 12 6.1"" 5G 64GB 128GB Mobile Unlocked 1YEAR WARRANTY Re- SEALED",289.99,0.00,2022-07-04T17:36:02.000Z,TS8***,BUSINESS,99.9,5325,BUSINESS,Opened – never used,https://www.ebay.co.uk/itm/394148207351?hash=item5bc5105af7:g:X7AAAOSwy-Rj~O2-&amdata=enc%3AAQAJAAAA4Jjk31NeCDkzTNANJep9JKHV24vKsVrAyjn7SUMTPgL99nNAIoyWiqbfacHdaXnxn7DByHjnlT1YmQ9aNtsSSpoX0wAhFlU5zW1vrDwOjuqRzf8AaddqGEmwAaoLhAU1by39zl26oW%2FxiBQU%2BBaF0vwod7jO3U2rf8iQemdcDq6JH6jl6dD33q3greCJWgxtrp6Ji%2FxJappLeOfjAOThVCic0ywSzEyQVToEIHIQi4%2BvVjKSqoLq%2FL9XxGmccrp7tLT9rYcK2A2IpwH9aO1uatFeeLHohDQaJ7yr1FsEsH1%2B
v1|195450092290|495434284041,Apple iPhone 12 64GB 128GB 256GB Unlocked Smartphone Sim Free Pristine Grade A+,295.99,0.00,2022-11-03T10:55:25.000Z,W3***,BUSINESS,99.4,128638,BUSINESS,Excellent - Refurbished,https://www.ebay.co.uk/itm/195450092290?hash=item2d81bbbb02:g:3~0AAOSwz9ljY5sd&amdata=enc%3AAQAJAAAA4Mv2whGJYGz57MR%2B6dAOWnL39yUqirSTa8I0kPXRtDYU6gMsXCHv02T%2FK%2BbjOb9Z95zI32V5XYHai4%2FCByNy4RhnZQs3zFMgKx7yGEbGgtofpkZ7wtqrM6wFsXuyxIHEo%2BGNupXbMOUpwQszWdQrd0rafxuGATxWrtXlu3QqXhktiy%2Ba%2FuiEMchvCrwn3uHaXYOSJAvYWtR7yOmX9TCujjnDKg1E%2BjWe6%2FAr0X9fHLQPi9yWOIKbjhqS1FBOngi99KHBEXohe1ZfdIoUwLFOCU92SBHx%2FNP3dpN5VGUNm%2Fsy
v1|325443994995|514473427655,NEW Apple iPhone 12 Mini 5.4 5G 64GB 128GB All Colours Unlocked in re-SEALED BOX,271.99,0.00,2022-11-29T21:24:45.000Z,M8***,BUSINESS,99.9,20247,BUSINESS,Opened – never used,https://www.ebay.co.uk/itm/325443994995?hash=item4bc5f94573:g:KVwAAOSwBlNjhnhh&amdata=enc%3AAQAJAAAA4Eu6995VGTdW6NbnUFVFFnhxRgvFB8N0qhgyj75IjAptvUeavr2O%2FJEouxrMoaAHW%2FJD03ZzX5M%2Bp84hMvdAqmASDtRts%2B7tm99RWNcQIgBo6gU2oM8nUuOk1YvPUnV7l6DJ9HtNzN5o118J68WeQMedcUIRjr0Oxoqun%2FkygyQQxVlXctZWAdLtVaI11Hu7EnPH99dCZZb5%2FZpNlCtUWKauwVbaun0mqXefxl3AEjSvOU1Cb6fHl2hCY%2BzpVPj0bZbhhslbDXDbe5SCSgPwlvGah1zaubyqlwxKx2GpJxLB
v1|295338136485|593507564925,Apple iPhone 14 Pro - All Sizes - All Colours - Unlocked - Good Condition,696.99,0.00,2022-11-14T13:59:54.000Z,SK7***,BUSINESS,99.2,12160745,BUSINESS,Good - Refurbished,https://www.ebay.co.uk/itm/295338136485?hash=item44c38653a5:g:P1gAAOSw575jckbc&amdata=enc%3AAQAJAAAA4EbLUYqvtSuO%2BqbaKrfA%2BQn%2F%2BVFGVPaOlJ89t2Cd9RkV%2FHeQu1J5P76ZUjT4MVn4HP14fo0zIY2vFkWoD2GpjwRaPmwVmz40e4POJp4t7OM1NPxAatSJmkbhPrVTJglZREkV--JiI3z0IqRs6O6R1A2J4hyYIeoU5W1g64HJ9kKGGju7axV9l8DLwCDjlFBmgMdOV5FElrBvnxiKHeOw3UBm4ul%2Bq0w%2FxlcdahhaUQgurOj9OuR%2FWUW%2BJHS0gmdyNPQK9l250cgQhx0XqL8tyAz3BSmEfdd12qN2w8sxM1sz
v1|285887571364|0,Apple iPhone 12 Black 128GB Unlocked Good Condition,215.00,0.00,2024-06-01T14:40:10.000Z,WV3***,INDIVIDUAL,98.7,1522,INDIVIDUAL,Used,https://www.ebay.co.uk/itm/285887571364?hash=item42903a25a4:g:K9IAAOSw4vJmWzKO
v1|186470358667|0,Apple iPhone 14 Pro Max - 128GB - Space Black Good Condition!!,625.00,0.00,2024-06-01T15:13:32.000Z,WD18***,INDIVIDUAL,94.7,135,INDIVIDUAL,Used,https://www.ebay.co.uk/itm/186470358667?hash=item2b6a7fde8b:g:g~sAAOSwrltmWamM
v1|226166333763|525298888188,Apple iPhone 14  Unlocked  128GB - All Colours 5G Pristine A+ with Apple Box,484.95,0.00,2024-05-28T16:25:51.000Z,SL1***,BUSINESS,99.8,13547,BUSINESS,Opened – never used,https://www.ebay.co.uk/itm/226166333763?hash=item34a8906143:g:RhgAAOSwOM9mVgTJ
v1|326147900161|0,iPhone 12 Pro Max 256gb Pacific Blue Unlocked,349.99,4.19,2024-06-01T14:28:41.000Z,B90***,INDIVIDUAL,100.0,93,INDIVIDUAL,Used,https://www.ebay.co.uk/itm/326147900161?hash=item4befee0301:g:SBoAAOSw1dpmWy-o
v1|266840357347|0,Apple iPhone 14 Pro 256GB Space Black Unlocked Excellent Condition,650.00,7.95,2024-06-01T17:34:36.000Z,WV6***,INDIVIDUAL,100.0,378,INDIVIDUAL,Used,https://www.ebay.co.uk/itm/266840357347?hash=item3e20ecb9e3:g:zukAAOSwgDlmW1sZ
v1|285887144652|0,Apple iPhone 14 - 128GB - Midnight (Unlocked) A2882 (GSM),420.93,2.94,2024-06-01T14:45:34.000Z,CR0***,INDIVIDUAL,0.0,0,INDIVIDUAL,Used,https://www.ebay.co.uk/itm/285887144652?hash=item429033a2cc:g:rFkAAOSw-qJmWhfK
v1|326148054962|0,iPhone 14 Pro - 128GB - Space Black (Unlocked) - Excellent Condition - Fast 🚚📦,599.00,9.50,2024-06-01T17:52:51.000Z,LE1***,INDIVIDUAL,100.0,18,INDIVIDUAL,Used,https://www.ebay.co.uk/itm/326148054962?hash=item4beff05fb2:g:PpQAAOSwZTVmW17O
v1|394303968019|0,Apple iPhone 14 6.1'' 5G Smartphone 128GB Unlocked Sim-Free - Purple A,539.89,0.00,2022-10-25T07:13:32.000Z,NN8***,BUSINESS,99.6,310102,BUSINESS,Opened – never used,https://www.ebay.co.uk/itm/394303968019?hash=item5bce591313:g:OOwAAOSw7ZFl7zWm
v1|354721713190|0,Apple iPhone 14 Pro Max 5G Smartphone 128GB Unlocked SIM-Free {Deep Purple} C,659.49,0.00,2023-04-15T20:04:12.000Z,NN8***,BUSINESS,99.6,310102,BUSINESS,Very Good - Refurbished,https://www.ebay.co.uk/itm/354721713190?hash=item52970fcc26:g:WPIAAOSwToRl7zWl
v1|325998251086|0,"Apple iPhone 14 5G Smartphone iOS 6.1"" SIM Free 128GB Midnight Black",478.99,0.00,2024-02-07T01:58:48.000Z,OL9***,BUSINESS,98.4,70507,BUSINESS,Excellent - Refurbished,https://www.ebay.co.uk/itm/325998251086?hash=item4be7028c4e:g:iMUAAOSw1Q9lwOF4
v1|126509715117|0,Apple iPhone 12 -64GB-5G Black (Unlocked & Sealed) -🍎-Apple- Warranty 1 Year_,359.00,8.95,2024-06-01T16:39:29.000Z,N1***,INDIVIDUAL,99.2,2361,INDIVIDUAL,New,https://www.ebay.co.uk/itm/126509715117?hash=item1d74910ead:g:LE0AAOSwhbBmAkhv
v1|304872559951|603874453148,Apple iPhone 14 - 128GB 256GB 512GB - All Colours - Unlocked - Excellent,626.99,0.00,2023-04-03T09:08:15.000Z,SK7***,BUSINESS,99.2,12160745,BUSINESS,Excellent - Refurbished,https://www.ebay.co.uk/itm/304872559951?hash=item46fbd2154f:g:6J8AAOSw0OpkKo7d
v1|364132572510|634338054248,Apple iPhone 12 5G 64GB-128GB Unlocked Any Network All Colours with Original Box,309.90,0.00,2023-02-03T12:14:16.000Z,M8***,BUSINESS,99.6,8403,BUSINESS,Opened – never used,https://www.ebay.co.uk/itm/364132572510?hash=item54c7fe1d5e:g:jWkAAOSwzxlmKU3s&amdata=enc%3AAQAJAAAA4BXqM%2FBm%2B%2F0RMJShIlkxzleF6WdKQ1CgE4JhNuJMPz1mLJZ8ZkC7lI1XMU0xeKpXtRrcYM%2Babtc7%2FWFkkNQohvx5yuD0JSxklytIVZOLqcjJASub71nTp4Sauz48tqCr3VEVOXBAQaV8yxGotnMeJcnIXKy7G9fQdTdtMbaPKyvM5h7%2BbOFSk492t4SmORLpybeSGv0MOyZvxSbwXqEFUh1NrfbgfIt%2Ffef1iKw%2BEd%2FGzLVBVNtBsjDaNb7CAB3RSSYA5zvTEusTD4Tp8gzexRmoKQUVYZEeBXpbqVCTz2YY
v1|304402770221|603447270275,Apple iPhone 12 - All Sizes - All Colours - Unlocked - Very Good Condition,377.99,0.00,2022-03-18T14:19:22.000Z,SK7***,BUSINESS,99.2,12160745,BUSINESS,Very Good - Refurbished,https://www.ebay.co.uk/itm/304402770221?hash=item46dfd1a92d:g:vRcAAOSwh0tiNJGr&amdata=enc%3AAQAJAAAA4K8dwoZCD5VggUP9c%2FVDyN%2BdBvyel%2FjZGxWUkh61bbKqJ0qiM0hIJv459IyGSYBIeQSnFLiJf6Il6XGhqlerNa4ZgD1TqbpeOrfyvXgsST2su7mV6mFaWSw7PIE%2BOun9bqCWTkyE6rMJ1JlFdK9iPbgBIjAt%2BQ31yhflgXi6yQPSPStXev3ayB9uc1ErXKJK6moBr1hUSHwIQgERPS8zp95Gr%2FK9sI1%2FkfAeGIlqwbda0CRXtirakTgEqlbCMXxOSfUw1lX3oNDnOYuSeGOrXuVypmvekm3VykBrhFJ8RVh1
v1|325380125859|514371009350,NEW Re-SEALED Apple iPhone 12 Pro 128GB 256GB 512GB phone Unlocked All Colours,394.99,0.00,2022-10-12T18:59:47.000Z,M8***,BUSINESS,99.9,20247,BUSINESS,Opened – never used,https://www.ebay.co.uk/itm/325380125859?hash=item4bc22ab4a3:g:hmgAAOSwqfljRw1S&amdata=enc%3AAQAJAAAA4IfoLsUoWLnX3PeVt1ic4X0znKegM1uZJC6qNnoH%2BBDyDb%2BZ7afcOd%2BWN8JOp7nuMfSPMKSj3d5HmWCW0A5nfjt8%2FJRTQhVuQzhTNXGy%2F7QA27e1wqaPsx4S5HDNp8e41S1eMlay48AhPiGIomSL%2Frluyq%2Fucmc9tua4kd9%2FY9yvpCVef32cZeCYeb%2Fc%2FxV7TQ9kQQ7TQ63In4YvexZ0UAA2go14szUFD97q2EE4iYYv6A%2F25%2BeErhzIlpcsnhqtUDWXN64EKLr8eKPwe5dq8u3vU5s3F7yF8H4Xy7W6L8LG
v1|304402865360|603447312386,Apple iPhone 12 Pro - 128GB 256GB 512GB - All Colours - Unlocked - Very Good,377.99,0.00,2022-03-18T14:53:38.000Z,SK7***,BUSINESS,99.2,12160745,BUSINESS,Very Good - Refurbished,https://www.ebay.co.uk/itm/304402865360?hash=item46dfd31cd0:g:jhoAAOSw6C5iNJsz&amdata=enc%3AAQAJAAAA4JyCwImFRzxuUlKKYOKxCYmtPk7aK7qQT8hn3eQAUyi7CHth1iO4yNV7Ddz2Y7V9zCOhpb4I7E1DG%2FsvnvnHkYBOk5GPIbi5SdqPLks2s%2FDNByhvWDPAGieQuJyMOk00s%2B4w14%2FOL35%2Fj0SMGva%2BFnH27xjeX2pFLOuXsfNP9g7nlDNgjfWqlLkhlKPLRiJN4yD%2FowiTf0NhIkzr2QdSic1rLI%2BkyjwDWu5IwwiFEx4cARCk%2B8ZJ%2FyKDDQd9GhNdinXifF%2Fd4lii8lTnXyYart%2FQVz71LkEUPEBMseJvTC%2BP
v1|295355331557|593517589107,Apple iPhone 14 Pro - All Sizes - All Colours - Unlocked - Very Good Condition,712.99,0.00,2022-11-21T13:23:32.000Z,SK7***,BUSINESS,99.2,12160745,BUSINESS,Very Good - Refurbished,https://www.ebay.co.uk/itm/295355331557?hash=item44c48cb3e5:g:MpUAAOSwTQdje2vw
v1|354568654111|0,Apple iPhone 14 Plus 6.7'' 5G Smartphone 128GB Unlocked SIM-Free - {Purple} C,449.49,0.00,2023-02-07T08:34:56.000Z,NN8***,BUSINESS,99.6,310102,BUSINESS,Very Good - Refurbished,https://www.ebay.co.uk/itm/354568654111?hash=item528df04d1f:g:WdYAAOSwzWdl7zYF
v1|394408306283|0,Apple iPhone 14 5G 6.1'' Smartphone 128GB Unlocked SIM-Free - (Blue) B+,499.79,0.00,2023-01-05T13:45:58.000Z,NN8***,BUSINESS,99.6,310102,BUSINESS,Excellent - Refurbished,https://www.ebay.co.uk/itm/394408306283?hash=item5bd491266b:g:vC0AAOSwnMll7zXB
v1|186470217821|0,Apple iPhone 14 - 128GB - Midnight (Unlocked) - Apple Warranty - May 2025,539.00,0.00,2024-06-01T13:33:01.000Z,E1***,BUSINESS,99.7,4114,BUSINESS,New,https://www.ebay.co.uk/itm/186470217821?hash=item2b6a7db85d:g:DOEAAOSwVJdlCbnE
v1|226171897093|0,Apple iPhone 14 - 128GB - Purple (Unlocked). MINT CONDITION,440.00,5.99,2024-06-01T16:08:31.000Z,CT20***,INDIVIDUAL,100.0,7,INDIVIDUAL,Used,https://www.ebay.co.uk/itm/226171897093?hash=item34a8e54505:g:iToAAOSwu05mWvJy
v1|325378481388|514366584612,Apple iPhone 12 Mini 64 128 256GB Unlocked Smartphone Sim Free Pristine Grade A+,208.99,0.00,2022-10-11T16:37:59.000Z,W3***,BUSINESS,99.0,6671,BUSINESS,Opened – never used,https://www.ebay.co.uk/itm/325378481388?hash=item4bc2119cec:g:Ej4AAOSwZz9jRZsk
v1|325479716614|514512601972,Apple iPhone 12  5G 64GB 128GB Mobile unlocked  1 YEAR WARRANTY NEW re- SEALED,269.99,0.00,2022-12-28T22:32:08.000Z,M8***,BUSINESS,99.9,20247,BUSINESS,Opened – never used,https://www.ebay.co.uk/itm/325479716614?hash=item4bc81a5706:g:w54AAOSwSzVjrMOt&amdata=enc%3AAQAJAAAA4Kd61VumNozg3B%2B0ZAXJLuFVdA0rYf8Y6gGXwH4wURfQqz9nEPqwW3LV9pLVR2MdlMS%2BGI23ccar9Uw7v9AutSaD6W1XqrECFpPFAtGwcAB05onQ%2Fp%2FKBzIBSrQWfenRvyV26xnot8wb%2BnGFb4PJcQ0sgQSwtPaUx%2FzIGDzyI0RkjtE1MN3DQ9LKdoPhueLC1j8d0M9rSJaCqbWlOnL%2FTdVmC1euM%2F9kkMZbKAcdjDmQWxSWgIVT6n2TGHfjjGaW39oNnfj2D%2F8GTo%2B6G1dYGgyxjhthn1WI9pe%2BMFhVjzUd
v1|326136348100|515235118594,Apple iPhone 12 All Colours -  64GB   - 5G  Pristine A+ with Apple Box,274.95,0.00,2024-05-22T17:14:59.000Z,SL1***,BUSINESS,99.8,13547,BUSINESS,Opened – never used,https://www.ebay.co.uk/itm/326136348100?hash=item4bef3dbdc4:g:OaoAAOSwioJmWeF0&amdata=enc%3AAQAJAAAA4BgUC9X1bKVQ7SfDbvoH8LCWsEwBr71U0pEgYh9gUO2Gi5%2FDKc4uv9k8BkXvNo%2BSDx8Aayh6w8sR09JaTD6AFmHLzNG0AW1i%2BMyyIVWXaqUgZ%2BLLHET0naTPZMOSsz1497CoKcqTiga8m7c1nqTH5TTQZi4zJ1m5MymS2uEzocn%2F7WLsg20wWegqXy9BuBNGhDQ4veQiXKFNkDYpWr2TbbBzjGPMmO41Sk7Nkx6syFR4u1zQc%2BBrnUxI4WEAo%2FlItK0QgBGMuNw72GRNEOPZpOmOCUpMxyxXIH8jtSoybkwR
v1|325419373623|0,Apple iPhone 14 128GB  MIDNIGHT BLACK UNLOCKED NEW SEALED 1 YEAR APPLE WARRANTY,595.00,0.00,2022-11-10T21:30:58.000Z,NW11***,BUSINESS,100.0,1457,BUSINESS,New,https://www.ebay.co.uk/itm/325419373623?hash=item4bc4819437:g:cYIAAOSwuexlrEcR
v1|235589694182|0,Apple iPhone 14 A2882 - 128GB - Blue (Unlocked) 88%🔋 6041255,499.99,0.00,2024-06-01T13:59:16.000Z,NG4***,BUSINESS,99.6,31653,BUSINESS,Used,https://www.ebay.co.uk/itm/235589694182?hash=item36da3d72e6:g:i6IAAOSwNAZmWyUY
v1|295426908297|593551524317,Apple iPhone 14 Pro Max - All Sizes -All Colours - Unlocked - Very Good,777.99,0.00,2022-12-19T14:46:46.000Z,SK7***,BUSINESS,99.2,12160745,BUSINESS,Very Good - Refurbished,https://www.ebay.co.uk/itm/295426908297?hash=item44c8d0e089:g:EoEAAOSwb6ljoHRN
v1|296467522392|594414952715,Case For iPhone 15 14 Pro Max Plus 13 12 11 8 7 SE Clear Shockproof Phone Cover,1.99,0.00,2024-05-30T10:07:35.000Z,RM8***,BUSINESS,98.7,329418,BUSINESS,New,https://www.ebay.co.uk/itm/296467522392?hash=item4506d76358:g:lGoAAOSwwRxmWEqu
v1|305596742558|0,Apple iPhone 12 Pro - 128GB - Graphite (Unlocked),489.99,0.00,2024-06-01T17:54:12.000Z,M8***,INDIVIDUAL,100.0,126,INDIVIDUAL,New,https://www.ebay.co.uk/itm/305596742558?hash=item4726fc3b9e:g:mR8AAOSwWBNmW2A3
v1|266783210876|0,"Apple iPhone 14 Plus 6.7"" 128GB Midnight Unlocked 5G  - 99% BH - Apple Warranty",559.00,0.00,2024-04-24T11:47:58.000Z,YO12***,BUSINESS,100.0,5174,BUSINESS,Opened – never used,https://www.ebay.co.uk/itm/266783210876?hash=item3e1d84bd7c:g:2L4AAOSwIy5jpHa8
v1|334135618770|544408650817,Apple iPhone 12 64GB/128GB/256GB - ALL COLOURS - UNLOCKED - GOOD CONDITION,229.99,0.00,2021-09-03T12:18:26.000Z,PL6***,BUSINESS,99.7,65551,BUSINESS,Good - Refurbished,https://www.ebay.co.uk/itm/334135618770?hash=item4dcc08ecd2:g:Pa0AAOSwcn9hMf5E
v1|404772901182|0,Apple iPhone 14 Plus 6.7'' 5G Smartphone 128GB Unlocked SIM-Free - *Purple* D,429.25,0.00,2024-01-31T16:01:54.000Z,NN8***,BUSINESS,99.7,492536,BUSINESS,Good - Refurbished,https://www.ebay.co.uk/itm/404772901182?hash=item5e3e58513e:g:vacAAOSwRYplum7o
v1|387049259176|0,Apple iPhone 12 Pro - 128GB - Graphite (Unlocked) A2407 (CDMA + GSM) A Grade,265.00,3.50,2024-06-01T17:08:56.000Z,SE18***,INDIVIDUAL,100.0,3971,INDIVIDUAL,Used,https://www.ebay.co.uk/itm/387049259176?hash=item5a1def00a8:g:d2kAAOSwu6hmW1Uj
v1|225236871939|524183022796,Apple iPhone 13 128GB/256/512 - ALL COLOURS - UNLOCKED - GOOD CONDITION,349.99,0.00,2022-11-04T15:43:26.000Z,PL6***,BUSINESS,99.7,65551,BUSINESS,Good - Refurbished,https://www.ebay.co.uk/itm/225236871939?hash=item347129eb03:g:eSUAAOSwVrljZS8p
v1|405011012030|0,Apple iPhone 12 mini - 64GB - Blue (Unlocked),110.00,3.30,2024-06-01T16:23:58.000Z,UB4***,INDIVIDUAL,99.5,538,INDIVIDUAL,Used,https://www.ebay.co.uk/itm/405011012030?hash=item5e4c8999be:g:cWQAAOSwzHRmW0qc
v1|116201960430|0,"BRAND NEW, SEALED & UNLOCKED Apple iPhone 12 - 64GB - Black",328.00,0.00,2024-06-01T10:06:14.000Z,SY8***,BUSINESS,100.0,596,BUSINESS,New,https://www.ebay.co.uk/itm/116201960430?hash=item1b0e2d33ee:g:xIgAAOSwn~VmTgQc
v1|195967501540|495823341617,Apple iPhone 12 Pro 128/256/512GB - Unlocked Smartphone Good Condition,274.99,0.00,2023-09-05T12:27:34.000Z,,BUSINESS,99.3,1217,BUSINESS,Good - Refurbished,https://www.ebay.co.uk/itm/195967501540?hash=item2da092c4e4:g:SRsAAOSw0Ihk9x6p
v1|326050141192|0,Apple iPhone 14 128GB  BLUE  UNLOCKED BRAND NEW SEALED 1 YEAR APPLE WARRANTY,595.00,0.00,2024-03-12T13:59:34.000Z,NW11***,BUSINESS,100.0,1457,BUSINESS,New,https://www.ebay.co.uk/itm/326050141192?hash=item4bea1a5408:g:gOMAAOSwe6Vl8F-l
v1|135067885408|434537659645,Case For iPhone 15 14 13 12 11 Pro Max XR XS 8 7 Shockproof Silicone Phone Cover,0.99,0.00,2024-05-20T15:00:01.000Z,RM16***,BUSINESS,99.4,487,BUSINESS,New,https://www.ebay.co.uk/itm/135067885408?hash=item1f72ac5f60:g:XCkAAOSwQeVmVhVJ
v1|165492121529|465041063109,Apple iPhone 12 Pro 128GB/256GB/512GB - Unlocked - All Colours - Very Good,309.99,0.00,2022-05-20T12:58:43.000Z,PO15***,BUSINESS,97.9,3013,BUSINESS,Very Good - Refurbished,https://www.ebay.co.uk/itm/165492121529?hash=item2688195fb9:g:OoMAAOSwH~xigqtz
v1|326148040164|0,Apple iPhone 12 - 64GB - Purple (Unlocked),265.00,3.39,2024-06-01T17:30:17.000Z,AL4***,INDIVIDUAL,0.0,5,INDIVIDUAL,Used,https://www.ebay.co.uk/itm/326148040164?hash=item4beff025e4:g:uC8AAOSwmZFmW1j~
